JAAR;PLAATS;Amsterdam Code,
1901;Uithuizermeeden;10246,
1901;Amsterdam;11150,
1901;Schoten;10382,
1901;Amsterdam;11150,
1901;Amsterdam;11150,
1901;Amsterdam;11150,
1901;Opsterland;10005,
1901;Dordrecht;11157,
1901;Hoogeveen;10839,
1901;Amsterdam;11150,
1901;Oldenzaal;11100,
1901;Oude Pekela;10848,
1901;Alteveer;10839,
1901;'s-Gravenhage;11434,
1901;Amsterdam;11150,
1901;Opsterland;10005,
1901;Rotterdam;10345,
1901;Franeker;11226,
1901;Appelscha;10836,
1901;Ooststellingwerf;10836,
1901;Amsterdam;11150,
1901;Amsterdam;11150,
1901;Ooststellingwerf;10836,
1901;Rotterdam;10345,
1901;Amsterdam;11150,
1902;Leiden;10702,
1902;Bredevoort;11046,
1903;Oisterwijk;10103,
1903;Enschede;10364,
1903;Bergum;11241,
1903;Oldemarkt;10858,
1903;Amsterdam;11150,
1903;Breda;10154,
1903;Groningen;10426,
1906;Oosterhout;11280,
1906;Amsterdam;11150,
1906;Hilversum;11285,
1906;Loosduinen;11434,
1906;Stompwijk;10742,
1895;Maastricht;10182,
1895;Amsterdam;11150,
1895;Amsterdam;11150,
1895;Musselkanaal;10610,
1895;Amsterdam;11150,
1903;Groningen;10426,
1903;Groningen;10426,
1903;Haarlem;10357,
1903;Amsterdam;11150,
1903;Haarlem;10357,
1903;Hilversum;11285,
1903;Rotterdam;10345,
1903;Utrecht;10722,
1903;landelijk;,
1903;Rotterdam;10345,
1903;Amsterdam;11150,
1903;Eerbeek;10798,
1903;Renkum;11325,
1903;Kampen;10253,
1903;'s-Hertogenbosch;10054,
1903;Amsterdam;11150,
1903;Utrecht;10722,
1870;Amsterdam;11150,
1871;Rotterdam;10345,
1871;'s-Gravenhage;11434,
1871;Vlaardingen;10811,
1871;Hoorn;11392,
1871;Vlaardingen;10811,
1871;Amsterdam;11150,
1871;Harlingen;10909,
1871;'s-Gravenhage;11434,
1872;Amsterdam;11150,
1872;Amsterdam;11150,
1872;Rotterdam;10345,
1872;Utrecht;10722,
1872;Sassenheim;10612,
1872;Schoonhoven;10980,
1896;Rotterdam;10345,
1896;Zoutelande;10779,
1896;Maastricht;10182,
1896;Amsterdam;11150,
1896;Amsterdam;11150,
1896;Gorinchem;10942,
1896;Maastricht;10182,
1896;Amsterdam;11150,
1896;Hembrug;11044,
1896;Maastricht;10182,
1896;Alteveer;10839,
1896;Beetsterzwaag;10005,
1896;Exloärveen;11320,
1896;Nieuwehorne;10680,
1896;Scherpenzeel;11146,
1896;Steenwijk;10546,
1896;Terwispel;10005,
1896;Valthermond;11320,
1896;Weerdingermond;11249,
1896;Weststellingwerf;11322,
1896;Nieuw-Buinen;10448,
1909;Weststellingwerf;11322,
1900;Terwispel;10005,
1900;Ginneken;10154,
1900;Amsterdam;11150,
1900;Bolsward;10865,
1900;Amsterdam;11150,
1900;IJlst;11062,
1900;Amsterdam;11150,
1903;Zaandam;11044,
1903;Apeldoorn;11075,
1903;Halfweg;10816,
1903;Arnhem;10795,
1903;Enschede;10364,
1906;'s-Gravenhage;11434,
1906;Groningen;10426,
1906;Amsterdam;11150,
1906;Scheveningen;11434,
1906;'s-Gravenhage;11434,
1906;'s-Gravenhage;11434,
1906;Wassenaar;10164,
1906;'s-Gravenhage;11434,
1906;'s-Gravenhage;11434,
1906;Beverwijk;10272,
1906;Zwijndrecht;10468,
1906;Enschede;10364,
1890;Sint Jacobiparochie;10128,
1890;Culemborg;10342,
1890;Veendam;11292,
1890;Nieuw-Buinen;10448,
1890;Tilburg;10792,
1897;Alteveer;10839,
1897;Rotterdam;10345,
1897;Rotterdam;10345,
1899;Koog aan de Zaan;10776,
1899;Amsterdam;11150,
1899;Zutphen;10254,
1899;Amsterdam;11150,
1899;Amsterdam;11150,
1899;Enschede;10364,
1899;Noordwolde;10425,
1899;Amsterdam;11150,
1899;Amsterdam;11150,
1899;Aengwirden;10680,
1899;Terwispel;10005,
1899;Tiel;10027,
1899;Amsterdam;11150,
1902;Naarden;10187,
1902;Lonneker;10364,
1902;Oud-Beyerland;,
1902;Amsterdam;11150,
1899;Leerdam;10685,
1899;Veenendaal;11052,
1899;Breda;10154,
1899;Amsterdam;11150,
1899;Amsterdam;11150,
1899;Buinerveen;10448,
1899;Griendtsveen;11108,
1899;Stolpen;10004,
1899;Amsterdam;11150,
1900;Amsterdam;11150,
1900;Noordwolde;10425,
1900;Blesse;11322,
1900;Amsterdam;11150,
1872;Rotterdam;10345,
1873;Haarlem;10357,
1873;Arnhem;10795,
1873;Amsterdam;11150,
1873;Almelo;11053,
1873;Amsterdam;11150,
1873;Terwispel;10005,
1873;Almelo;11053,
1873;Amsterdam;11150,
1873;Beetsterzwaag;10005,
1873;Hengelo;10359,
1873;Almelo;11053,
1873;Renkum;11325,
1873;Amsterdam;11150,
1895;Amsterdam;11150,
1895;Amsterdam;11150,
1895;Amsterdam;11150,
1895;Amsterdam;11150,
1895;Amsterdam;11150,
1895;Hunzingosluis;,
1895;Amsterdam;11150,
1895;Amsterdam;11150,
1895;Enschede;10364,
1895;Amsterdam;11150,
1895;Amsterdam;11150,
1895;Utrecht;10722,
1874;Amsterdam;11150,
1874;Zwaluwenburg;11106,
1874;Terwispel;10005,
1874;Beetsterzwaag;10005,
1874;Haskerland;10022,
1874;'s-Hertogenbosch;10054,
1874;Ulrum;10180,
1874;Dedemsvaart;11190,
1874;Nieuwediep;10506,
1875;Almelo;11053,
1875;Vriezenveen;10643,
1875;Almelo;11053,
1865;Gramsbergen;11339,
1865;Hardenberg;10174,
1865;Avereest;11190,
1897;Bolnes;10646,
1897;Amsterdam;11150,
1897;Arnhem;10795,
1897;Rotterdam;10345,
1897;Terneuzen;10704,
1897;Utrecht;10722,
1897;Haarlem;10357,
1897;Amsterdam;11150,
1897;Rotterdam;10345,
1897;Beersterhoogen;11043,
1899;Druten;10068,
1899;Dreest;,
1899;Budel;10219,
1913;Rotterdam;10345,
1913;Rotterdam;10345,
1913;Amsterdam;11150,
1913;Amsterdam;11150,
1913;Amsterdam;11150,
1914;Amsterdam;11150,
1914;Amsterdam;11150,
1914;'s-Gravenhage;11434,
1914;Zaandam;11044,
1914;Zaandijk;11404,
1914;Nijmegen;11209,
1914;'s-Gravenhage;11434,
1914;Nieuw-Buinen;10448,
1883;Renkum;11325,
1883;Heerenveen;10680,
1883;Veenendaal;11052,
1883;Amsterdam;11150,
1894;Nieuw-Buinen;10448,
1894;Amsterdam;11150,
1894;Rotterdam;10345,
1894;Enschede;10364,
1894;Amsterdam;11150,
1894;Amsterdam;11150,
1894;Arnhem;10795,
1894;Breda;10154,
1894;'s-Gravenhage;11434,
1894;Groningen;10426,
1894;Utrecht;10722,
1897;Hilversum;11285,
1897;Rotterdam;10345,
1899;Rotterdam;10345,
1899;Meppel;11204,
1899;Amsterdam;11150,
1899;Amsterdam;11150,
1898;Alphen a/d Rijn;10517,
1898;Culemborg;10342,
1898;Amsterdam;11150,
1898;Epe;10940,
1898;Zutphen;10254,
1898;Amsterdam;11150,
1899;Vlissingen;10270,
1899;Amsterdam;11150,
1899;Amsterdam;11150,
1899;Amsterdam;11150,
1899;Rotterdam;10345,
1899;Amsterdam;11150,
1899;Amsterdam;11150,
1899;'s-Gravenhage;11434,
1899;Tijnje;10005,
1899;Vlissingen;10270,
1899;Amsterdam;11150,
1899;Amsterdam;11150,
1899;Exloärveen;11320,
1899;Buinerveen;10448,
1899;Vlissingen;10270,
1899;Vlissingen;10270,
1899;Amsterdam;11150,
1899;IJzendoorn;10832,
1899;Amsterdam;11150,
1900;Terneuzen;10704,
1900;Rhenen;10309,
1900;Amsterdam;11150,
1900;Amsterdam;11150,
1900;Hoek van Holland;10345,
1900;Amsterdam;11150,
1900;Amsterdam;11150,
1900;Appelscha;10836,
1900;Rotterdam;10345,
1900;Onderdendam;10425,
1900;Loenen;11202,
1900;Enschede;10364,
1901;Amsterdam;11150,
1901;Amsterdam;11150,
1901;Zaandam;11044,
1901;Rotterdam;10345,
1902;Schiedam;11260,
1902;Amsterdam;11150,
1902;Langerak;11127,
1902;Amsterdam;11150,
1902;Enschede;10364,
1902;Rotterdam;10345,
1902;Amsterdam;11150,
1902;Tilburg;10792,
1903;Ammerstol;10863,
1903;Nijmegen;11209,
1903;Leiden;10702,
1903;Haarlem;10357,
1903;'s-Gravenhage;11434,
1903;Arnhem;10795,
1903;Amsterdam;11150,
1903;Amsterdam;11150,
1903;Leeuwarden;11228,
1903;Sappemeer;10080,
1903;Beetsterzwaag;10005,
1903;Vlaardingen;10811,
1911;IJmuiden;10620,
1911;Amsterdam;11150,
1911;'s-Gravenhage;11434,
1911;Leeuwarden;11228,
1911;Amsterdam;11150,
1911;Rotterdam;10345,
1912;Amsterdam;11150,
1912;Vlagtwedde;11249,
1912;Delfzijl;10976,
1912;Amsterdam;11150,
1912;Amsterdam;11150,
1883;Hilversum;11285,
1883;Deventer;10899,
1883;Veenendaal;11052,
1883;Veenendaal;11052,
1883;Besoijen;11359,
1884;Zevenbergen;10046,
1884;Amsterdam;11150,
1884;Weststellingwerf;11322,
1886;Amsterdam;11150,
1887;Jubbega;10680,
1887;Enschede;10364,
1887;Beetsterzwaag;10005,
1887;Veenendaal;11052,
1887;Amsterdam;11150,
1887;'s-Hertogenbosch;10054,
1887;Heteren;10290,
1887;Scheveningen;11434,
1887;Stratum;10172,
1887;Terwispel;10005,
1888;Goor;10076,
1888;Hoogezand;10410,
1893;Nieuwe Pekela;10848,
1893;Stadskanaal;10825,
1893;Zuidhorn;10021,
1893;Hengelo;10359,
1894;Dordrecht;11157,
1894;Nijmegen;11209,
1894;Amsterdam;11150,
1894;Rotterdam;10345,
1894;Amsterdam;11150,
1894;Hilversum;11285,
1894;Vaals;10007,
1894;Hengelo;10359,
1894;Amsterdam;11150,
1894;Leiden;10702,
1894;Arnhem;10795,
1894;drente;,
1894;Zutphen;10254,
1894;Amsterdam;11150,
1894;Sittard;11230,
1894;Amsterdam;11150,
1894;Winschoten;10453,
1894;Sappemeer;10080,
1894;Amsterdam;11150,
1894;Amsterdam;11150,
1894;Rhenen;10309,
1894;Sneek;11421,
1865;Beetsterzwaag;10005,
1865;Terwispel;10005,
1865;Borne;10326,
1866;Amsterdam;11150,
1866;Dedemsvaart;11190,
1866;Zuidbroek;11282,
1866;Enschede;10364,
1866;Steenwijkerwold;11347,
1866;Roermond;11313,
1866;Velsen;10620,
1866;Kralingen;10345,
